term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
Conditions:act,3 km.h-1:GT3X+ (hip)-Rest:GT3X+ (hip),0,43.88645440058612,33.816104007700815,53.95680479347142,0
Conditions:act,5 km.h-1:GT3X+ (hip)-Rest:GT3X+ (hip),0,62.41675041804812,52.346400025162815,72.48710081093341,0
Conditions:act,7 km.h-1:GT3X+ (hip)-Rest:GT3X+ (hip),0,86.27818349250146,76.20783309961615,96.34853388538676,0
Conditions:act,9 km.h-1:GT3X+ (hip)-Rest:GT3X+ (hip),0,94.01737936163613,83.85246961353221,104.18228910974005,0
Conditions:act,Rest:ACTT (hip)-Rest:GT3X+ (hip),0,2.0684883757725645,-7.956804294936984,12.093781046482114,0.9999999020974053
Conditions:act,3 km.h-1:ACTT (hip)-Rest:GT3X+ (hip),0,86.91421256743301,76.88891989672346,96.93950523814256,0
Conditions:act,5 km.h-1:ACTT (hip)-Rest:GT3X+ (hip),0,120.84535400140247,110.82006133069292,130.87064667211203,0
Conditions:act,7 km.h-1:ACTT (hip)-Rest:GT3X+ (hip),0,193.80109485265993,183.77580218195038,203.82638752336948,0
Conditions:act,9 km.h-1:ACTT (hip)-Rest:GT3X+ (hip),0,224.03327977676784,213.9164148158392,234.15014473769648,0
Conditions:act,Rest:ACTT (wrist)-Rest:GT3X+ (hip),0,3.1937732617375474,-6.831519408972001,13.219065932447096,0.9998910113862396
Conditions:act,3 km.h-1:ACTT (wrist)-Rest:GT3X+ (hip),0,73.59594054268844,63.57064787197889,83.62123321339799,0
Conditions:act,5 km.h-1:ACTT (wrist)-Rest:GT3X+ (hip),0,95.64187408107529,85.61658141036574,105.66716675178483,0
Conditions:act,7 km.h-1:ACTT (wrist)-Rest:GT3X+ (hip),0,191.51334594336544,181.4880532726559,201.53863861407498,0
Conditions:act,9 km.h-1:ACTT (wrist)-Rest:GT3X+ (hip),0,236.478650712279,226.36178575135037,246.59551567320764,0
Conditions:act,Rest:GT3X+ (wrist)-Rest:GT3X+ (hip),0,1.7559613766998867,-8.269331294009662,11.781254047409435,0.9999999943624448
Conditions:act,3 km.h-1:GT3X+ (wrist)-Rest:GT3X+ (hip),0,45.441436419396105,35.41614374868656,55.46672909010565,0
Conditions:act,5 km.h-1:GT3X+ (wrist)-Rest:GT3X+ (hip),0,69.22655833087092,59.20126566016137,79.25185100158046,0
Conditions:act,7 km.h-1:GT3X+ (wrist)-Rest:GT3X+ (hip),0,125.52963068330888,115.50433801259933,135.55492335401843,0
Conditions:act,9 km.h-1:GT3X+ (wrist)-Rest:GT3X+ (hip),0,150.53545067613098,140.41858571520234,160.65231563705962,0
Conditions:act,5 km.h-1:GT3X+ (hip)-3 km.h-1:GT3X+ (hip),0,18.530296017462,8.459945624576699,28.600646410347302,1.822153394837045e-8
Conditions:act,7 km.h-1:GT3X+ (hip)-3 km.h-1:GT3X+ (hip),0,42.391729091915344,32.32137869903004,52.46207948480065,0
Conditions:act,9 km.h-1:GT3X+ (hip)-3 km.h-1:GT3X+ (hip),0,50.13092496105002,39.966015212946104,60.29583470915394,0
Conditions:act,Rest:ACTT (hip)-3 km.h-1:GT3X+ (hip),0,-41.81796602481355,-51.8432586955231,-31.792673354104004,0
Conditions:act,3 km.h-1:ACTT (hip)-3 km.h-1:GT3X+ (hip),0,43.0277581668469,33.002465496137354,53.05305083755645,0
Conditions:act,5 km.h-1:ACTT (hip)-3 km.h-1:GT3X+ (hip),0,76.95889960081635,66.9336069301068,86.9841922715259,0
Conditions:act,7 km.h-1:ACTT (hip)-3 km.h-1:GT3X+ (hip),0,149.9146404520738,139.88934778136425,159.93993312278334,0
Conditions:act,9 km.h-1:ACTT (hip)-3 km.h-1:GT3X+ (hip),0,180.1468253761817,170.02996041525307,190.26369033711035,0
Conditions:act,Rest:ACTT (wrist)-3 km.h-1:GT3X+ (hip),0,-40.69268113884857,-50.71797380955812,-30.667388468139023,0
Conditions:act,3 km.h-1:ACTT (wrist)-3 km.h-1:GT3X+ (hip),0,29.709486142102328,19.68419347139278,39.734778812811875,1.5643042416968456e-13
Conditions:act,5 km.h-1:ACTT (wrist)-3 km.h-1:GT3X+ (hip),0,51.755419680489176,41.73012700977963,61.78071235119872,0
Conditions:act,7 km.h-1:ACTT (wrist)-3 km.h-1:GT3X+ (hip),0,147.6268915427793,137.60159887206976,157.65218421348885,0
Conditions:act,9 km.h-1:ACTT (wrist)-3 km.h-1:GT3X+ (hip),0,192.59219631169287,182.47533135076424,202.7090612726215,0
Conditions:act,Rest:GT3X+ (wrist)-3 km.h-1:GT3X+ (hip),0,-42.13049302388623,-52.15578569459578,-32.105200353176684,0
Conditions:act,3 km.h-1:GT3X+ (wrist)-3 km.h-1:GT3X+ (hip),0,1.5549820188099872,-8.470310651899561,11.580274689519536,0.9999999993530035
Conditions:act,5 km.h-1:GT3X+ (wrist)-3 km.h-1:GT3X+ (hip),0,25.340103930284805,15.314811259575256,35.36539660099435,1.4843681839238343e-13
Conditions:act,7 km.h-1:GT3X+ (wrist)-3 km.h-1:GT3X+ (hip),0,81.64317628272278,71.61788361201323,91.66846895343232,0
Conditions:act,9 km.h-1:GT3X+ (wrist)-3 km.h-1:GT3X+ (hip),0,106.64899627554485,96.53213131461621,116.76586123647348,0
Conditions:act,7 km.h-1:GT3X+ (hip)-5 km.h-1:GT3X+ (hip),0,23.861433074453345,13.791082681568044,33.93178346733865,1.8884893648873913e-13
Conditions:act,9 km.h-1:GT3X+ (hip)-5 km.h-1:GT3X+ (hip),0,31.60062894358802,21.435719195484104,41.76553869169194,7.915890165577366e-14
Conditions:act,Rest:ACTT (hip)-5 km.h-1:GT3X+ (hip),0,-60.34826204227555,-70.3735547129851,-50.322969371566,0
Conditions:act,3 km.h-1:ACTT (hip)-5 km.h-1:GT3X+ (hip),0,24.4974621493849,14.472169478675353,34.52275482009445,1.397770788003072e-13
Conditions:act,5 km.h-1:ACTT (hip)-5 km.h-1:GT3X+ (hip),0,58.42860358335436,48.40331091264481,68.4538962540639,0
Conditions:act,7 km.h-1:ACTT (hip)-5 km.h-1:GT3X+ (hip),0,131.38434443461182,121.35905176390227,141.40963710532137,0
Conditions:act,9 km.h-1:ACTT (hip)-5 km.h-1:GT3X+ (hip),0,161.61652935871973,151.4996643977911,171.73339431964837,0
Conditions:act,Rest:ACTT (wrist)-5 km.h-1:GT3X+ (hip),0,-59.22297715631057,-69.24826982702012,-49.19768448560102,0
Conditions:act,3 km.h-1:ACTT (wrist)-5 km.h-1:GT3X+ (hip),0,11.179190124640328,1.1538974539307798,21.204482795349875,0.011843256920452405
Conditions:act,5 km.h-1:ACTT (wrist)-5 km.h-1:GT3X+ (hip),0,33.225123663027176,23.19983099231763,43.25041633373672,0
Conditions:act,7 km.h-1:ACTT (wrist)-5 km.h-1:GT3X+ (hip),0,129.0965955253173,119.07130285460775,139.12188819602684,0
Conditions:act,9 km.h-1:ACTT (wrist)-5 km.h-1:GT3X+ (hip),0,174.0619002942309,163.94503533330226,184.17876525515953,0
Conditions:act,Rest:GT3X+ (wrist)-5 km.h-1:GT3X+ (hip),0,-60.66078904134823,-70.68608171205778,-50.635496370638684,0
Conditions:act,3 km.h-1:GT3X+ (wrist)-5 km.h-1:GT3X+ (hip),0,-16.975313998652013,-27.00060666936156,-6.950021327942464,4.60904740928747e-7
Conditions:act,5 km.h-1:GT3X+ (wrist)-5 km.h-1:GT3X+ (hip),0,6.809807912822805,-3.2154847578867436,16.835100583532352,0.6513576362824272
Conditions:act,7 km.h-1:GT3X+ (wrist)-5 km.h-1:GT3X+ (hip),0,63.11288026526077,53.08758759455122,73.13817293597032,0
Conditions:act,9 km.h-1:GT3X+ (wrist)-5 km.h-1:GT3X+ (hip),0,88.11870025808285,78.00183529715422,98.23556521901149,0
Conditions:act,9 km.h-1:GT3X+ (hip)-7 km.h-1:GT3X+ (hip),0,7.739195869134676,-2.4257138789692423,17.904105617238592,0.4255544561481319
Conditions:act,Rest:ACTT (hip)-7 km.h-1:GT3X+ (hip),0,-84.2096951167289,-94.23498778743844,-74.18440244601935,0
