+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Teste Piloto Acttrust
DEVICE_ID : 3020
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 3094458
MEMORY_USAGE : 38.74 %
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 26/07/2022 21:51:06
CONNECTION_SYSTEM_DATE_TIME : 26/07/2022 21:49:09
CONNECTION_DEVICE_DATE_TIME : 26/07/2022 21:49:09
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
26/07/2022 13:30:15;0;0;22.37;22.24;0;8;0.133333;0;0;0;0;0.22;0.09;0.06;0.02;0.02;0.02;0.00;0.00;0
26/07/2022 13:31:15;0;0;22.86;22.24;0;702;11.7;49;0.816667;14;0.233333;0.66;0.27;0.15;0.08;0.05;0.07;0.00;0.00;0
26/07/2022 13:32:15;0;0;22.48;22.25;0;0;0;0;0;0;0;0.74;0.30;0.17;0.08;0.05;0.09;0.00;0.00;0
26/07/2022 13:33:15;0;0;22.27;22.18;0;9;0.15;0;0;0;0;0.70;0.28;0.17;0.08;0.05;0.08;0.00;0.00;0
26/07/2022 13:34:15;0;0;24.00;22.26;0;3786;63.1;228;3.8;101;1.68333;0.81;0.33;0.17;0.10;0.06;0.09;0.00;0.00;0
26/07/2022 13:35:15;0;0;25.70;23.00;0;413;6.88333;30;0.5;2;0.0333333;0.62;0.25;0.13;0.09;0.05;0.06;0.00;0.00;0
26/07/2022 13:36:15;0;0;26.40;23.84;0;8650;144.167;468;7.8;209;3.48333;1.07;0.43;0.23;0.26;0.29;0.55;0.00;0.00;0
26/07/2022 13:37:15;0;0;27.03;24.59;0;6519;108.65;320;5.33333;152;2.53333;1.17;0.47;0.30;0.32;0.43;0.85;0.00;0.00;0
26/07/2022 13:38:15;0;0;27.58;25.27;0;7542;125.7;413;6.88333;150;2.5;1.40;0.57;0.35;0.38;0.49;0.95;0.00;0.00;0
26/07/2022 13:39:15;0;0;28.00;25.85;0;6325;105.417;344;5.73333;192;3.2;0.95;0.38;0.21;0.12;0.07;0.10;0.00;0.00;0
26/07/2022 13:40:15;0;0;28.34;26.28;0;2170;36.1667;149;2.48333;34;0.566667;1.21;0.49;0.23;0.19;0.11;0.11;0.00;0.00;0
26/07/2022 13:41:15;0;0;28.43;26.62;0;521;8.68333;32;0.533333;3;0.05;1.10;0.45;0.20;0.18;0.10;0.10;0.00;0.00;0
26/07/2022 13:42:15;0;0;28.55;26.82;0;1073;17.8833;58;0.966667;29;0.483333;0.96;0.39;0.18;0.15;0.09;0.09;0.00;0.00;0
26/07/2022 13:43:15;0;0;28.74;27.01;0;0;0;0;0;0;0;0.55;0.22;0.12;0.07;0.04;0.06;0.00;0.00;0
26/07/2022 13:44:15;0;0;28.95;27.21;0;136;2.26667;13;0.216667;0;0;0.70;0.28;0.15;0.09;0.05;0.07;0.00;0.00;0
26/07/2022 13:45:15;0;0;29.14;27.44;0;12;0.2;0;0;0;0;0.72;0.29;0.16;0.09;0.05;0.08;0.00;0.00;0
26/07/2022 13:46:15;0;0;29.29;27.64;0;0;0;0;0;0;0;0.76;0.31;0.16;0.10;0.06;0.08;0.00;0.00;0
26/07/2022 13:47:15;0;0;29.43;27.82;0;6;0.1;0;0;0;0;0.77;0.31;0.16;0.10;0.06;0.08;0.00;0.00;0
26/07/2022 13:48:15;0;0;29.56;27.98;0;69;1.15;5;0.0833333;0;0;0.74;0.30;0.16;0.10;0.06;0.08;0.00;0.00;0
26/07/2022 13:49:15;0;0;29.67;28.12;0;7;0.116667;0;0;0;0;0.72;0.29;0.15;0.10;0.05;0.07;0.00;0.00;0
26/07/2022 13:50:15;0;0;29.78;28.25;0;34;0.566667;2;0.0333333;0;0;0.79;0.32;0.16;0.11;0.06;0.08;0.00;0.00;0
26/07/2022 13:51:15;0;0;29.89;28.38;0;0;0;0;0;0;0;0.83;0.34;0.17;0.12;0.07;0.08;0.00;0.00;0
26/07/2022 13:52:15;0;0;30.00;28.50;0;35;0.583333;1;0.0166667;0;0;0.86;0.35;0.17;0.12;0.07;0.08;0.00;0.00;0
26/07/2022 13:53:15;0;0;30.11;28.61;0;1003;16.7167;86;1.43333;4;0.0666667;0.85;0.34;0.17;0.12;0.07;0.08;0.00;0.00;0
26/07/2022 13:54:15;0;0;30.23;28.73;0;3066;51.1;257;4.28333;19;0.316667;0.61;0.25;0.14;0.08;0.05;0.07;0.00;0.00;0
26/07/2022 13:55:15;0;0;30.31;28.83;0;5504;91.7333;413;6.88333;54;0.9;0.42;0.17;0.08;0.06;0.04;0.04;0.00;0.00;0
26/07/2022 13:56:15;0;0;30.32;28.88;0;5346;89.1;382;6.36667;77;1.28333;0.34;0.14;0.07;0.05;0.04;0.04;0.00;0.00;0
26/07/2022 13:57:15;0;0;30.31;28.88;0;5124;85.4;386;6.43333;70;1.16667;0.37;0.15;0.07;0.05;0.04;0.04;0.00;0.00;0
26/07/2022 13:58:15;0;0;30.30;28.88;0;5074;84.5667;377;6.28333;89;1.48333;0.34;0.14;0.07;0.05;0.03;0.04;0.00;0.00;0
26/07/2022 13:59:15;0;0;30.29;28.88;0;5191;86.5167;396;6.6;72;1.2;0.35;0.14;0.07;0.05;0.03;0.04;0.00;0.00;0
26/07/2022 14:00:15;0;0;30.27;28.86;0;5274;87.9;380;6.33333;91;1.51667;0.32;0.13;0.06;0.05;0.03;0.03;0.00;0.00;0
26/07/2022 14:01:15;0;0;30.25;28.81;0;5324;88.7333;370;6.16667;64;1.06667;0.36;0.15;0.07;0.05;0.04;0.04;0.00;0.00;0
26/07/2022 14:02:15;0;0;30.23;28.81;0;5169;86.15;374;6.23333;58;0.966667;0.33;0.14;0.07;0.05;0.03;0.03;0.00;0.00;0
26/07/2022 14:03:15;0;0;30.21;28.78;0;5486;91.4333;387;6.45;64;1.06667;0.37;0.15;0.07;0.05;0.03;0.04;0.00;0.00;0
26/07/2022 14:04:15;0;0;30.17;28.75;0;3555;59.25;272;4.53333;27;0.45;0.41;0.16;0.08;0.06;0.04;0.04;0.00;0.00;0
