+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.13
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Primeiro dia de teste piloto
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 1293039
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
DATE_TIME : 11/04/2022 13:43:20
+-------------------------------------------------------+
DATE/TIME;PIM
21/03/2022 13:25:00;139
21/03/2022 13:25:01;84
21/03/2022 13:25:02;123
21/03/2022 13:25:03;62
21/03/2022 13:25:04;181
21/03/2022 13:25:05;134
21/03/2022 13:25:06;91
21/03/2022 13:25:07;10
21/03/2022 13:25:08;0
21/03/2022 13:25:09;8
21/03/2022 13:25:10;0
21/03/2022 13:25:11;0
21/03/2022 13:25:12;0
21/03/2022 13:25:13;0
21/03/2022 13:25:14;0
21/03/2022 13:25:15;0
21/03/2022 13:25:16;0
21/03/2022 13:25:17;0
21/03/2022 13:25:18;0
21/03/2022 13:25:19;0
21/03/2022 13:25:20;0
21/03/2022 13:25:21;0
21/03/2022 13:25:22;0
21/03/2022 13:25:23;0
21/03/2022 13:25:24;0
21/03/2022 13:25:25;0
21/03/2022 13:25:26;0
21/03/2022 13:25:27;0
21/03/2022 13:25:28;0
21/03/2022 13:25:29;0
21/03/2022 13:25:30;0
21/03/2022 13:25:31;0
21/03/2022 13:25:32;0
21/03/2022 13:25:33;0
21/03/2022 13:25:34;0
21/03/2022 13:25:35;0
21/03/2022 13:25:36;0
21/03/2022 13:25:37;0
21/03/2022 13:25:38;0
21/03/2022 13:25:39;0
21/03/2022 13:25:40;0
21/03/2022 13:25:41;0
21/03/2022 13:25:42;0
21/03/2022 13:25:43;0
21/03/2022 13:25:44;0
21/03/2022 13:25:45;0
21/03/2022 13:25:46;0
21/03/2022 13:25:47;0
21/03/2022 13:25:48;0
21/03/2022 13:25:49;0
21/03/2022 13:25:50;0
21/03/2022 13:25:51;0
21/03/2022 13:25:52;0
21/03/2022 13:25:53;0
21/03/2022 13:25:54;0
21/03/2022 13:25:55;8
21/03/2022 13:25:56;0
21/03/2022 13:25:57;0
21/03/2022 13:25:58;0
21/03/2022 13:25:59;0
21/03/2022 13:26:00;0
21/03/2022 13:26:01;0
21/03/2022 13:26:02;0
21/03/2022 13:26:03;0
21/03/2022 13:26:04;0
21/03/2022 13:26:05;247
21/03/2022 13:26:06;110
21/03/2022 13:26:07;38
21/03/2022 13:26:08;43
21/03/2022 13:26:09;53
21/03/2022 13:26:10;78
21/03/2022 13:26:11;121
21/03/2022 13:26:12;195
21/03/2022 13:26:13;97
21/03/2022 13:26:14;63
21/03/2022 13:26:15;7
21/03/2022 13:26:16;0
21/03/2022 13:26:17;0
21/03/2022 13:26:18;0
21/03/2022 13:26:19;0
21/03/2022 13:26:20;0
21/03/2022 13:26:21;0
21/03/2022 13:26:22;0
21/03/2022 13:26:23;0
21/03/2022 13:26:24;0
21/03/2022 13:26:25;0
21/03/2022 13:26:26;0
21/03/2022 13:26:27;0
21/03/2022 13:26:28;0
21/03/2022 13:26:29;0
21/03/2022 13:26:30;0
21/03/2022 13:26:31;0
21/03/2022 13:26:32;0
21/03/2022 13:26:33;0
21/03/2022 13:26:34;0
21/03/2022 13:26:35;0
21/03/2022 13:26:36;0
21/03/2022 13:26:37;0
21/03/2022 13:26:38;0
21/03/2022 13:26:39;0
