+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.13
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Primeiro dia de teste piloto
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 1293039
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
DATE_TIME : 11/04/2022 13:42:22
+-------------------------------------------------------+
DATE/TIME;PIM
21/03/2022 09:42:00;0
21/03/2022 09:42:01;0
21/03/2022 09:42:02;0
21/03/2022 09:42:03;0
21/03/2022 09:42:04;0
21/03/2022 09:42:05;9
21/03/2022 09:42:06;0
21/03/2022 09:42:07;0
21/03/2022 09:42:08;0
21/03/2022 09:42:09;0
21/03/2022 09:42:10;0
21/03/2022 09:42:11;0
21/03/2022 09:42:12;0
21/03/2022 09:42:13;0
21/03/2022 09:42:14;0
21/03/2022 09:42:15;0
21/03/2022 09:42:16;0
21/03/2022 09:42:17;0
21/03/2022 09:42:18;0
21/03/2022 09:42:19;0
21/03/2022 09:42:20;0
21/03/2022 09:42:21;0
21/03/2022 09:42:22;0
21/03/2022 09:42:23;0
21/03/2022 09:42:24;0
21/03/2022 09:42:25;0
21/03/2022 09:42:26;9
21/03/2022 09:42:27;0
21/03/2022 09:42:28;0
21/03/2022 09:42:29;0
21/03/2022 09:42:30;0
21/03/2022 09:42:31;0
21/03/2022 09:42:32;9
21/03/2022 09:42:33;0
21/03/2022 09:42:34;8
21/03/2022 09:42:35;9
21/03/2022 09:42:36;4
21/03/2022 09:42:37;25
21/03/2022 09:42:38;51
21/03/2022 09:42:39;33
21/03/2022 09:42:40;6
21/03/2022 09:42:41;0
21/03/2022 09:42:42;5
21/03/2022 09:42:43;89
21/03/2022 09:42:44;87
21/03/2022 09:42:45;142
21/03/2022 09:42:46;136
21/03/2022 09:42:47;87
21/03/2022 09:42:48;89
21/03/2022 09:42:49;31
21/03/2022 09:42:50;0
21/03/2022 09:42:51;0
21/03/2022 09:42:52;0
21/03/2022 09:42:53;0
21/03/2022 09:42:54;0
21/03/2022 09:42:55;0
21/03/2022 09:42:56;0
21/03/2022 09:42:57;0
21/03/2022 09:42:58;0
21/03/2022 09:42:59;0
21/03/2022 09:43:00;0
21/03/2022 09:43:01;37
21/03/2022 09:43:02;167
21/03/2022 09:43:03;11
21/03/2022 09:43:04;0
21/03/2022 09:43:05;0
21/03/2022 09:43:06;0
21/03/2022 09:43:07;0
21/03/2022 09:43:08;0
21/03/2022 09:43:09;0
21/03/2022 09:43:10;0
21/03/2022 09:43:11;0
21/03/2022 09:43:12;0
21/03/2022 09:43:13;0
21/03/2022 09:43:14;0
21/03/2022 09:43:15;0
21/03/2022 09:43:16;0
21/03/2022 09:43:17;0
21/03/2022 09:43:18;0
21/03/2022 09:43:19;0
21/03/2022 09:43:20;0
21/03/2022 09:43:21;0
21/03/2022 09:43:22;0
21/03/2022 09:43:23;0
21/03/2022 09:43:24;0
21/03/2022 09:43:25;0
21/03/2022 09:43:26;0
21/03/2022 09:43:27;0
21/03/2022 09:43:28;0
21/03/2022 09:43:29;0
21/03/2022 09:43:30;0
21/03/2022 09:43:31;0
21/03/2022 09:43:32;0
21/03/2022 09:43:33;0
21/03/2022 09:43:34;0
21/03/2022 09:43:35;0
21/03/2022 09:43:36;0
21/03/2022 09:43:37;0
21/03/2022 09:43:38;0
21/03/2022 09:43:39;0
21/03/2022 09:43:40;0
21/03/2022 09:43:41;0
21/03/2022 09:43:42;0
21/03/2022 09:43:43;0
21/03/2022 09:43:44;0
21/03/2022 09:43:45;0
21/03/2022 09:43:46;0
21/03/2022 09:43:47;0
21/03/2022 09:43:48;0
21/03/2022 09:43:49;0
21/03/2022 09:43:50;0
21/03/2022 09:43:51;0
21/03/2022 09:43:52;0
21/03/2022 09:43:53;0
21/03/2022 09:43:54;0
21/03/2022 09:43:55;0
21/03/2022 09:43:56;0
21/03/2022 09:43:57;0
21/03/2022 09:43:58;0
21/03/2022 09:43:59;0
21/03/2022 09:44:00;0
21/03/2022 09:44:01;0
21/03/2022 09:44:02;0
21/03/2022 09:44:03;0
21/03/2022 09:44:04;0
21/03/2022 09:44:05;0
21/03/2022 09:44:06;0
21/03/2022 09:44:07;0
21/03/2022 09:44:08;0
21/03/2022 09:44:09;0
21/03/2022 09:44:10;0
21/03/2022 09:44:11;0
21/03/2022 09:44:12;0
21/03/2022 09:44:13;0
21/03/2022 09:44:14;0
21/03/2022 09:44:15;0
21/03/2022 09:44:16;0
21/03/2022 09:44:17;0
21/03/2022 09:44:18;0
21/03/2022 09:44:19;0
21/03/2022 09:44:20;0
21/03/2022 09:44:21;0
21/03/2022 09:44:22;0
21/03/2022 09:44:23;0
21/03/2022 09:44:24;0
21/03/2022 09:44:25;0
21/03/2022 09:44:26;0
21/03/2022 09:44:27;0
21/03/2022 09:44:28;0
21/03/2022 09:44:29;0
21/03/2022 09:44:30;0
21/03/2022 09:44:31;0
21/03/2022 09:44:32;0
21/03/2022 09:44:33;0
21/03/2022 09:44:34;0
21/03/2022 09:44:35;0
21/03/2022 09:44:36;0
21/03/2022 09:44:37;0
21/03/2022 09:44:38;0
21/03/2022 09:44:39;0
21/03/2022 09:44:40;0
21/03/2022 09:44:41;0
21/03/2022 09:44:42;0
21/03/2022 09:44:43;0
21/03/2022 09:44:44;0
21/03/2022 09:44:45;0
21/03/2022 09:44:46;0
21/03/2022 09:44:47;0
21/03/2022 09:44:48;0
21/03/2022 09:44:49;0
21/03/2022 09:44:50;0
21/03/2022 09:44:51;0
21/03/2022 09:44:52;0
21/03/2022 09:44:53;0
21/03/2022 09:44:54;0
21/03/2022 09:44:55;0
21/03/2022 09:44:56;0
21/03/2022 09:44:57;0
21/03/2022 09:44:58;0
21/03/2022 09:44:59;0
21/03/2022 09:45:00;0
21/03/2022 09:45:01;0
21/03/2022 09:45:02;0
21/03/2022 09:45:03;0
21/03/2022 09:45:04;0
21/03/2022 09:45:05;0
21/03/2022 09:45:06;0
21/03/2022 09:45:07;0
21/03/2022 09:45:08;0
21/03/2022 09:45:09;0
21/03/2022 09:45:10;0
21/03/2022 09:45:11;0
21/03/2022 09:45:12;0
21/03/2022 09:45:13;0
21/03/2022 09:45:14;0
21/03/2022 09:45:15;0
21/03/2022 09:45:16;0
21/03/2022 09:45:17;0
21/03/2022 09:45:18;0
21/03/2022 09:45:19;0
21/03/2022 09:45:20;0
21/03/2022 09:45:21;0
21/03/2022 09:45:22;0
21/03/2022 09:45:23;0
21/03/2022 09:45:24;0
21/03/2022 09:45:25;0
21/03/2022 09:45:26;0
21/03/2022 09:45:27;0
21/03/2022 09:45:28;0
21/03/2022 09:45:29;0
21/03/2022 09:45:30;0
21/03/2022 09:45:31;0
21/03/2022 09:45:32;0
21/03/2022 09:45:33;0
21/03/2022 09:45:34;0
21/03/2022 09:45:35;0
21/03/2022 09:45:36;0
21/03/2022 09:45:37;0
21/03/2022 09:45:38;0
21/03/2022 09:45:39;0
21/03/2022 09:45:40;0
21/03/2022 09:45:41;0
21/03/2022 09:45:42;0
21/03/2022 09:45:43;0
21/03/2022 09:45:44;0
21/03/2022 09:45:45;0
21/03/2022 09:45:46;0
21/03/2022 09:45:47;0
21/03/2022 09:45:48;0
21/03/2022 09:45:49;0
21/03/2022 09:45:50;0
21/03/2022 09:45:51;0
21/03/2022 09:45:52;0
21/03/2022 09:45:53;3
21/03/2022 09:45:54;0
21/03/2022 09:45:55;0
21/03/2022 09:45:56;0
21/03/2022 09:45:57;0
21/03/2022 09:45:58;0
21/03/2022 09:45:59;0
21/03/2022 09:46:00;0
21/03/2022 09:46:01;0
21/03/2022 09:46:02;0
21/03/2022 09:46:03;0
21/03/2022 09:46:04;0
21/03/2022 09:46:05;0
21/03/2022 09:46:06;0
21/03/2022 09:46:07;0
21/03/2022 09:46:08;0
21/03/2022 09:46:09;0
21/03/2022 09:46:10;0
21/03/2022 09:46:11;0
21/03/2022 09:46:12;0
21/03/2022 09:46:13;0
21/03/2022 09:46:14;0
21/03/2022 09:46:15;0
21/03/2022 09:46:16;0
21/03/2022 09:46:17;0
21/03/2022 09:46:18;0
21/03/2022 09:46:19;0
21/03/2022 09:46:20;0
21/03/2022 09:46:21;0
21/03/2022 09:46:22;0
21/03/2022 09:46:23;0
21/03/2022 09:46:24;68
21/03/2022 09:46:25;48
21/03/2022 09:46:26;66
21/03/2022 09:46:27;68
21/03/2022 09:46:28;17
21/03/2022 09:46:29;0
21/03/2022 09:46:30;0
21/03/2022 09:46:31;0
21/03/2022 09:46:32;0
21/03/2022 09:46:33;0
21/03/2022 09:46:34;0
21/03/2022 09:46:35;0
21/03/2022 09:46:36;0
21/03/2022 09:46:37;0
21/03/2022 09:46:38;0
21/03/2022 09:46:39;0
21/03/2022 09:46:40;0
21/03/2022 09:46:41;0
21/03/2022 09:46:42;0
21/03/2022 09:46:43;0
21/03/2022 09:46:44;0
21/03/2022 09:46:45;0
21/03/2022 09:46:46;0
21/03/2022 09:46:47;0
21/03/2022 09:46:48;0
21/03/2022 09:46:49;0
21/03/2022 09:46:50;0
21/03/2022 09:46:51;0
21/03/2022 09:46:52;0
21/03/2022 09:46:53;0
21/03/2022 09:46:54;0
21/03/2022 09:46:55;0
21/03/2022 09:46:56;0
21/03/2022 09:46:57;0
21/03/2022 09:46:58;0
21/03/2022 09:46:59;0
21/03/2022 09:47:00;0
21/03/2022 09:47:01;0
21/03/2022 09:47:02;0
21/03/2022 09:47:03;0
21/03/2022 09:47:04;0
21/03/2022 09:47:05;0
21/03/2022 09:47:06;0
21/03/2022 09:47:07;0
21/03/2022 09:47:08;0
21/03/2022 09:47:09;0
21/03/2022 09:47:10;0
21/03/2022 09:47:11;0
21/03/2022 09:47:12;0
21/03/2022 09:47:13;0
21/03/2022 09:47:14;0
21/03/2022 09:47:15;0
21/03/2022 09:47:16;0
21/03/2022 09:47:17;0
21/03/2022 09:47:18;0
21/03/2022 09:47:19;0
21/03/2022 09:47:20;0
21/03/2022 09:47:21;0
21/03/2022 09:47:22;0
21/03/2022 09:47:23;0
21/03/2022 09:47:24;0
21/03/2022 09:47:25;0
21/03/2022 09:47:26;0
21/03/2022 09:47:27;0
21/03/2022 09:47:28;0
21/03/2022 09:47:29;0
21/03/2022 09:47:30;0
21/03/2022 09:47:31;0
21/03/2022 09:47:32;0
21/03/2022 09:47:33;0
21/03/2022 09:47:34;0
21/03/2022 09:47:35;0
21/03/2022 09:47:36;0
21/03/2022 09:47:37;0
21/03/2022 09:47:38;0
21/03/2022 09:47:39;0
21/03/2022 09:47:40;0
21/03/2022 09:47:41;0
21/03/2022 09:47:42;0
21/03/2022 09:47:43;0
21/03/2022 09:47:44;0
21/03/2022 09:47:45;0
21/03/2022 09:47:46;0
21/03/2022 09:47:47;0
21/03/2022 09:47:48;0
21/03/2022 09:47:49;0
21/03/2022 09:47:50;0
21/03/2022 09:47:51;0
21/03/2022 09:47:52;0
